id,contract,venue,desk,trader,bid,ask,spread,filled,status,trendSeed,updatedAt
251,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,69.00,69.05,0.05,82,Monitoring,28,1s ago
252,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,70.70,70.80,0.10,95,At risk,29,2s ago
253,Cocoa Jan 26,Chicago,D-251,Maya Chen,72.40,72.55,0.15,12,Open,12,3s ago
254,Cotton Mar 26,Singapore,D-628,Noah Park,74.10,74.30,0.20,25,Filled,13,4s ago
255,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,75.80,76.05,0.25,38,Monitoring,14,5s ago
256,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,77.50,77.55,0.05,51,At risk,15,1s ago
257,Copper Sep 26,Chicago,D-1563,Theo Ivanov,79.20,79.30,0.10,64,Open,16,2s ago
258,Nickel Nov 26,Singapore,D-2874,Luca Perez,80.90,81.05,0.15,77,Filled,17,3s ago
259,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,82.60,82.80,0.20,90,Monitoring,18,4s ago
260,Lithium Mar 26,Sao Paulo,D-628,Noah Park,84.30,84.55,0.25,8,At risk,19,5s ago
261,Cocoa May 26,Chicago,D-844,Iris Chen,86.00,86.05,0.05,20,Open,20,1s ago
262,Cotton Jul 26,Singapore,D-1071,Sofia Bell,87.70,87.80,0.10,33,Filled,21,2s ago
263,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,89.40,89.55,0.15,46,Monitoring,22,3s ago
264,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,91.10,91.30,0.20,59,At risk,23,4s ago
265,Copper Jan 26,Chicago,D-251,Maya Chen,60.80,61.05,0.25,72,Open,24,5s ago
266,Nickel Mar 26,Singapore,D-628,Noah Park,62.50,62.55,0.05,85,Filled,25,1s ago
267,Aluminum May 26,Frankfurt,D-844,Iris Chen,64.20,64.30,0.10,8,Monitoring,26,2s ago
268,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,65.90,66.05,0.15,15,At risk,27,3s ago
269,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,67.60,67.80,0.20,28,Open,28,4s ago
270,Cotton Nov 26,Singapore,D-2874,Luca Perez,69.30,69.55,0.25,41,Filled,29,5s ago
271,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,71.00,71.05,0.05,54,Monitoring,12,1s ago
272,Wheat Mar 26,Sao Paulo,D-628,Noah Park,72.70,72.80,0.10,67,At risk,13,2s ago
273,Copper May 26,Chicago,D-844,Iris Chen,74.40,74.55,0.15,80,Open,14,3s ago
274,Nickel Jul 26,Singapore,D-1071,Sofia Bell,76.10,76.30,0.20,93,Filled,15,4s ago
275,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,77.80,78.05,0.25,10,Monitoring,16,5s ago
276,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,79.50,79.55,0.05,23,At risk,17,1s ago
277,Cocoa Jan 26,Chicago,D-251,Maya Chen,81.20,81.30,0.10,36,Open,18,2s ago
278,Cotton Mar 26,Singapore,D-628,Noah Park,82.90,83.05,0.15,49,Filled,19,3s ago
279,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,84.60,84.80,0.20,62,Monitoring,20,4s ago
280,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,86.30,86.55,0.25,75,At risk,21,5s ago
281,Copper Sep 26,Chicago,D-1563,Theo Ivanov,88.00,88.05,0.05,88,Open,22,1s ago
282,Nickel Nov 26,Singapore,D-2874,Luca Perez,89.70,89.80,0.10,8,Filled,23,2s ago
283,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,91.40,91.55,0.15,18,Monitoring,24,3s ago
284,Lithium Mar 26,Sao Paulo,D-628,Noah Park,61.10,61.30,0.20,31,At risk,25,4s ago
285,Cocoa May 26,Chicago,D-844,Iris Chen,62.80,63.05,0.25,44,Open,26,5s ago
286,Cotton Jul 26,Singapore,D-1071,Sofia Bell,64.50,64.55,0.05,57,Filled,27,1s ago
287,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,66.20,66.30,0.10,70,Monitoring,28,2s ago
288,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,67.90,68.05,0.15,83,At risk,29,3s ago
289,Copper Jan 26,Chicago,D-251,Maya Chen,69.60,69.80,0.20,8,Open,12,4s ago
290,Nickel Mar 26,Singapore,D-628,Noah Park,71.30,71.55,0.25,13,Filled,13,5s ago
291,Aluminum May 26,Frankfurt,D-844,Iris Chen,73.00,73.05,0.05,26,Monitoring,14,1s ago
292,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,74.70,74.80,0.10,39,At risk,15,2s ago
293,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,76.40,76.55,0.15,52,Open,16,3s ago
294,Cotton Nov 26,Singapore,D-2874,Luca Perez,78.10,78.30,0.20,65,Filled,17,4s ago
295,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,79.80,80.05,0.25,78,Monitoring,18,5s ago
296,Wheat Mar 26,Sao Paulo,D-628,Noah Park,81.50,81.55,0.05,91,At risk,19,1s ago
297,Copper May 26,Chicago,D-844,Iris Chen,83.20,83.30,0.10,8,Open,20,2s ago
298,Nickel Jul 26,Singapore,D-1071,Sofia Bell,84.90,85.05,0.15,21,Filled,21,3s ago
299,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,86.60,86.80,0.20,34,Monitoring,22,4s ago
300,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,88.30,88.55,0.25,47,At risk,23,5s ago
301,Cocoa Jan 26,Chicago,D-251,Maya Chen,90.00,90.05,0.05,60,Open,24,1s ago
302,Cotton Mar 26,Singapore,D-628,Noah Park,91.70,91.80,0.10,73,Filled,25,2s ago
303,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,61.40,61.55,0.15,86,Monitoring,26,3s ago
304,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,63.10,63.30,0.20,8,At risk,27,4s ago
305,Copper Sep 26,Chicago,D-1563,Theo Ivanov,64.80,65.05,0.25,16,Open,28,5s ago
306,Nickel Nov 26,Singapore,D-2874,Luca Perez,66.50,66.55,0.05,29,Filled,29,1s ago
307,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,68.20,68.30,0.10,42,Monitoring,12,2s ago
308,Lithium Mar 26,Sao Paulo,D-628,Noah Park,69.90,70.05,0.15,55,At risk,13,3s ago
309,Cocoa May 26,Chicago,D-844,Iris Chen,71.60,71.80,0.20,68,Open,14,4s ago
310,Cotton Jul 26,Singapore,D-1071,Sofia Bell,73.30,73.55,0.25,81,Filled,15,5s ago
311,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,75.00,75.05,0.05,94,Monitoring,16,1s ago
312,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,76.70,76.80,0.10,11,At risk,17,2s ago
313,Copper Jan 26,Chicago,D-251,Maya Chen,78.40,78.55,0.15,24,Open,18,3s ago
314,Nickel Mar 26,Singapore,D-628,Noah Park,80.10,80.30,0.20,37,Filled,19,4s ago
315,Aluminum May 26,Frankfurt,D-844,Iris Chen,81.80,82.05,0.25,50,Monitoring,20,5s ago
316,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,83.50,83.55,0.05,63,At risk,21,1s ago
317,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,85.20,85.30,0.10,76,Open,22,2s ago
318,Cotton Nov 26,Singapore,D-2874,Luca Perez,86.90,87.05,0.15,89,Filled,23,3s ago
319,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,88.60,88.80,0.20,8,Monitoring,24,4s ago
320,Wheat Mar 26,Sao Paulo,D-628,Noah Park,90.30,90.55,0.25,19,At risk,25,5s ago
321,Copper May 26,Chicago,D-844,Iris Chen,60.00,60.05,0.05,32,Open,26,1s ago
322,Nickel Jul 26,Singapore,D-1071,Sofia Bell,61.70,61.80,0.10,45,Filled,27,2s ago
323,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,63.40,63.55,0.15,58,Monitoring,28,3s ago
324,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,65.10,65.30,0.20,71,At risk,29,4s ago
325,Cocoa Jan 26,Chicago,D-251,Maya Chen,66.80,67.05,0.25,84,Open,12,5s ago
326,Cotton Mar 26,Singapore,D-628,Noah Park,68.50,68.55,0.05,8,Filled,13,1s ago
327,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,70.20,70.30,0.10,14,Monitoring,14,2s ago
328,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,71.90,72.05,0.15,27,At risk,15,3s ago
329,Copper Sep 26,Chicago,D-1563,Theo Ivanov,73.60,73.80,0.20,40,Open,16,4s ago
330,Nickel Nov 26,Singapore,D-2874,Luca Perez,75.30,75.55,0.25,53,Filled,17,5s ago
331,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,77.00,77.05,0.05,66,Monitoring,18,1s ago
332,Lithium Mar 26,Sao Paulo,D-628,Noah Park,78.70,78.80,0.10,79,At risk,19,2s ago
333,Cocoa May 26,Chicago,D-844,Iris Chen,80.40,80.55,0.15,92,Open,20,3s ago
334,Cotton Jul 26,Singapore,D-1071,Sofia Bell,82.10,82.30,0.20,9,Filled,21,4s ago
335,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,83.80,84.05,0.25,22,Monitoring,22,5s ago
336,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,85.50,85.55,0.05,35,At risk,23,1s ago
337,Copper Jan 26,Chicago,D-251,Maya Chen,87.20,87.30,0.10,48,Open,24,2s ago
338,Nickel Mar 26,Singapore,D-628,Noah Park,88.90,89.05,0.15,61,Filled,25,3s ago
339,Aluminum May 26,Frankfurt,D-844,Iris Chen,90.60,90.80,0.20,74,Monitoring,26,4s ago
340,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,60.30,60.55,0.25,87,At risk,27,5s ago
341,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,62.00,62.05,0.05,8,Open,28,1s ago
342,Cotton Nov 26,Singapore,D-2874,Luca Perez,63.70,63.80,0.10,17,Filled,29,2s ago
343,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,65.40,65.55,0.15,30,Monitoring,12,3s ago
344,Wheat Mar 26,Sao Paulo,D-628,Noah Park,67.10,67.30,0.20,43,At risk,13,4s ago
345,Copper May 26,Chicago,D-844,Iris Chen,68.80,69.05,0.25,56,Open,14,5s ago
346,Nickel Jul 26,Singapore,D-1071,Sofia Bell,70.50,70.55,0.05,69,Filled,15,1s ago
347,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,72.20,72.30,0.10,82,Monitoring,16,2s ago
348,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,73.90,74.05,0.15,95,At risk,17,3s ago
349,Cocoa Jan 26,Chicago,D-251,Maya Chen,75.60,75.80,0.20,12,Open,18,4s ago
350,Cotton Mar 26,Singapore,D-628,Noah Park,77.30,77.55,0.25,25,Filled,19,5s ago
351,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,79.00,79.05,0.05,38,Monitoring,20,1s ago
352,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,80.70,80.80,0.10,51,At risk,21,2s ago
353,Copper Sep 26,Chicago,D-1563,Theo Ivanov,82.40,82.55,0.15,64,Open,22,3s ago
354,Nickel Nov 26,Singapore,D-2874,Luca Perez,84.10,84.30,0.20,77,Filled,23,4s ago
355,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,85.80,86.05,0.25,90,Monitoring,24,5s ago
356,Lithium Mar 26,Sao Paulo,D-628,Noah Park,87.50,87.55,0.05,8,At risk,25,1s ago
357,Cocoa May 26,Chicago,D-844,Iris Chen,89.20,89.30,0.10,20,Open,26,2s ago
358,Cotton Jul 26,Singapore,D-1071,Sofia Bell,90.90,91.05,0.15,33,Filled,27,3s ago
359,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,60.60,60.80,0.20,46,Monitoring,28,4s ago
360,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,62.30,62.55,0.25,59,At risk,29,5s ago
361,Copper Jan 26,Chicago,D-251,Maya Chen,64.00,64.05,0.05,72,Open,12,1s ago
362,Nickel Mar 26,Singapore,D-628,Noah Park,65.70,65.80,0.10,85,Filled,13,2s ago
363,Aluminum May 26,Frankfurt,D-844,Iris Chen,67.40,67.55,0.15,8,Monitoring,14,3s ago
364,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,69.10,69.30,0.20,15,At risk,15,4s ago
365,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,70.80,71.05,0.25,28,Open,16,5s ago
366,Cotton Nov 26,Singapore,D-2874,Luca Perez,72.50,72.55,0.05,41,Filled,17,1s ago
367,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,74.20,74.30,0.10,54,Monitoring,18,2s ago
368,Wheat Mar 26,Sao Paulo,D-628,Noah Park,75.90,76.05,0.15,67,At risk,19,3s ago
369,Copper May 26,Chicago,D-844,Iris Chen,77.60,77.80,0.20,80,Open,20,4s ago
370,Nickel Jul 26,Singapore,D-1071,Sofia Bell,79.30,79.55,0.25,93,Filled,21,5s ago
371,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,81.00,81.05,0.05,10,Monitoring,22,1s ago
372,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,82.70,82.80,0.10,23,At risk,23,2s ago
373,Cocoa Jan 26,Chicago,D-251,Maya Chen,84.40,84.55,0.15,36,Open,24,3s ago
374,Cotton Mar 26,Singapore,D-628,Noah Park,86.10,86.30,0.20,49,Filled,25,4s ago
375,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,87.80,88.05,0.25,62,Monitoring,26,5s ago
376,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,89.50,89.55,0.05,75,At risk,27,1s ago
377,Copper Sep 26,Chicago,D-1563,Theo Ivanov,91.20,91.30,0.10,88,Open,28,2s ago
378,Nickel Nov 26,Singapore,D-2874,Luca Perez,60.90,61.05,0.15,8,Filled,29,3s ago
379,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,62.60,62.80,0.20,18,Monitoring,12,4s ago
380,Lithium Mar 26,Sao Paulo,D-628,Noah Park,64.30,64.55,0.25,31,At risk,13,5s ago
381,Cocoa May 26,Chicago,D-844,Iris Chen,66.00,66.05,0.05,44,Open,14,1s ago
382,Cotton Jul 26,Singapore,D-1071,Sofia Bell,67.70,67.80,0.10,57,Filled,15,2s ago
383,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,69.40,69.55,0.15,70,Monitoring,16,3s ago
384,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,71.10,71.30,0.20,83,At risk,17,4s ago
385,Copper Jan 26,Chicago,D-251,Maya Chen,72.80,73.05,0.25,8,Open,18,5s ago
386,Nickel Mar 26,Singapore,D-628,Noah Park,74.50,74.55,0.05,13,Filled,19,1s ago
387,Aluminum May 26,Frankfurt,D-844,Iris Chen,76.20,76.30,0.10,26,Monitoring,20,2s ago
388,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,77.90,78.05,0.15,39,At risk,21,3s ago
389,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,79.60,79.80,0.20,52,Open,22,4s ago
390,Cotton Nov 26,Singapore,D-2874,Luca Perez,81.30,81.55,0.25,65,Filled,23,5s ago
391,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,83.00,83.05,0.05,78,Monitoring,24,1s ago
392,Wheat Mar 26,Sao Paulo,D-628,Noah Park,84.70,84.80,0.10,91,At risk,25,2s ago
393,Copper May 26,Chicago,D-844,Iris Chen,86.40,86.55,0.15,8,Open,26,3s ago
394,Nickel Jul 26,Singapore,D-1071,Sofia Bell,88.10,88.30,0.20,21,Filled,27,4s ago
395,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,89.80,90.05,0.25,34,Monitoring,28,5s ago
396,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,91.50,91.55,0.05,47,At risk,29,1s ago
397,Cocoa Jan 26,Chicago,D-251,Maya Chen,61.20,61.30,0.10,60,Open,12,2s ago
398,Cotton Mar 26,Singapore,D-628,Noah Park,62.90,63.05,0.15,73,Filled,13,3s ago
399,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,64.60,64.80,0.20,86,Monitoring,14,4s ago
400,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,66.30,66.55,0.25,8,At risk,15,5s ago
401,Copper Sep 26,Chicago,D-1563,Theo Ivanov,68.00,68.05,0.05,16,Open,16,1s ago
402,Nickel Nov 26,Singapore,D-2874,Luca Perez,69.70,69.80,0.10,29,Filled,17,2s ago
403,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,71.40,71.55,0.15,42,Monitoring,18,3s ago
404,Lithium Mar 26,Sao Paulo,D-628,Noah Park,73.10,73.30,0.20,55,At risk,19,4s ago
405,Cocoa May 26,Chicago,D-844,Iris Chen,74.80,75.05,0.25,68,Open,20,5s ago
406,Cotton Jul 26,Singapore,D-1071,Sofia Bell,76.50,76.55,0.05,81,Filled,21,1s ago
407,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,78.20,78.30,0.10,94,Monitoring,22,2s ago
408,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,79.90,80.05,0.15,11,At risk,23,3s ago
409,Copper Jan 26,Chicago,D-251,Maya Chen,81.60,81.80,0.20,24,Open,24,4s ago
410,Nickel Mar 26,Singapore,D-628,Noah Park,83.30,83.55,0.25,37,Filled,25,5s ago
411,Aluminum May 26,Frankfurt,D-844,Iris Chen,85.00,85.05,0.05,50,Monitoring,26,1s ago
412,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,86.70,86.80,0.10,63,At risk,27,2s ago
413,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,88.40,88.55,0.15,76,Open,28,3s ago
414,Cotton Nov 26,Singapore,D-2874,Luca Perez,90.10,90.30,0.20,89,Filled,29,4s ago
415,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,91.80,92.05,0.25,8,Monitoring,12,5s ago
416,Wheat Mar 26,Sao Paulo,D-628,Noah Park,61.50,61.55,0.05,19,At risk,13,1s ago
417,Copper May 26,Chicago,D-844,Iris Chen,63.20,63.30,0.10,32,Open,14,2s ago
418,Nickel Jul 26,Singapore,D-1071,Sofia Bell,64.90,65.05,0.15,45,Filled,15,3s ago
419,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,66.60,66.80,0.20,58,Monitoring,16,4s ago
420,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,68.30,68.55,0.25,71,At risk,17,5s ago
421,Cocoa Jan 26,Chicago,D-251,Maya Chen,70.00,70.05,0.05,84,Open,18,1s ago
422,Cotton Mar 26,Singapore,D-628,Noah Park,71.70,71.80,0.10,8,Filled,19,2s ago
423,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,73.40,73.55,0.15,14,Monitoring,20,3s ago
424,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,75.10,75.30,0.20,27,At risk,21,4s ago
425,Copper Sep 26,Chicago,D-1563,Theo Ivanov,76.80,77.05,0.25,40,Open,22,5s ago
426,Nickel Nov 26,Singapore,D-2874,Luca Perez,78.50,78.55,0.05,53,Filled,23,1s ago
427,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,80.20,80.30,0.10,66,Monitoring,24,2s ago
428,Lithium Mar 26,Sao Paulo,D-628,Noah Park,81.90,82.05,0.15,79,At risk,25,3s ago
429,Cocoa May 26,Chicago,D-844,Iris Chen,83.60,83.80,0.20,92,Open,26,4s ago
430,Cotton Jul 26,Singapore,D-1071,Sofia Bell,85.30,85.55,0.25,9,Filled,27,5s ago
431,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,87.00,87.05,0.05,22,Monitoring,28,1s ago
432,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,88.70,88.80,0.10,35,At risk,29,2s ago
433,Copper Jan 26,Chicago,D-251,Maya Chen,90.40,90.55,0.15,48,Open,12,3s ago
434,Nickel Mar 26,Singapore,D-628,Noah Park,60.10,60.30,0.20,61,Filled,13,4s ago
435,Aluminum May 26,Frankfurt,D-844,Iris Chen,61.80,62.05,0.25,74,Monitoring,14,5s ago
436,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,63.50,63.55,0.05,87,At risk,15,1s ago
437,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,65.20,65.30,0.10,8,Open,16,2s ago
438,Cotton Nov 26,Singapore,D-2874,Luca Perez,66.90,67.05,0.15,17,Filled,17,3s ago
439,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,68.60,68.80,0.20,30,Monitoring,18,4s ago
440,Wheat Mar 26,Sao Paulo,D-628,Noah Park,70.30,70.55,0.25,43,At risk,19,5s ago
441,Copper May 26,Chicago,D-844,Iris Chen,72.00,72.05,0.05,56,Open,20,1s ago
442,Nickel Jul 26,Singapore,D-1071,Sofia Bell,73.70,73.80,0.10,69,Filled,21,2s ago
443,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,75.40,75.55,0.15,82,Monitoring,22,3s ago
444,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,77.10,77.30,0.20,95,At risk,23,4s ago
445,Cocoa Jan 26,Chicago,D-251,Maya Chen,78.80,79.05,0.25,12,Open,24,5s ago
446,Cotton Mar 26,Singapore,D-628,Noah Park,80.50,80.55,0.05,25,Filled,25,1s ago
447,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,82.20,82.30,0.10,38,Monitoring,26,2s ago
448,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,83.90,84.05,0.15,51,At risk,27,3s ago
449,Copper Sep 26,Chicago,D-1563,Theo Ivanov,85.60,85.80,0.20,64,Open,28,4s ago
450,Nickel Nov 26,Singapore,D-2874,Luca Perez,87.30,87.55,0.25,77,Filled,29,5s ago
451,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,89.00,89.05,0.05,90,Monitoring,12,1s ago
452,Lithium Mar 26,Sao Paulo,D-628,Noah Park,90.70,90.80,0.10,8,At risk,13,2s ago
453,Cocoa May 26,Chicago,D-844,Iris Chen,60.40,60.55,0.15,20,Open,14,3s ago
454,Cotton Jul 26,Singapore,D-1071,Sofia Bell,62.10,62.30,0.20,33,Filled,15,4s ago
455,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,63.80,64.05,0.25,46,Monitoring,16,5s ago
456,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,65.50,65.55,0.05,59,At risk,17,1s ago
457,Copper Jan 26,Chicago,D-251,Maya Chen,67.20,67.30,0.10,72,Open,18,2s ago
458,Nickel Mar 26,Singapore,D-628,Noah Park,68.90,69.05,0.15,85,Filled,19,3s ago
459,Aluminum May 26,Frankfurt,D-844,Iris Chen,70.60,70.80,0.20,8,Monitoring,20,4s ago
460,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,72.30,72.55,0.25,15,At risk,21,5s ago
461,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,74.00,74.05,0.05,28,Open,22,1s ago
462,Cotton Nov 26,Singapore,D-2874,Luca Perez,75.70,75.80,0.10,41,Filled,23,2s ago
463,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,77.40,77.55,0.15,54,Monitoring,24,3s ago
464,Wheat Mar 26,Sao Paulo,D-628,Noah Park,79.10,79.30,0.20,67,At risk,25,4s ago
465,Copper May 26,Chicago,D-844,Iris Chen,80.80,81.05,0.25,80,Open,26,5s ago
466,Nickel Jul 26,Singapore,D-1071,Sofia Bell,82.50,82.55,0.05,93,Filled,27,1s ago
467,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,84.20,84.30,0.10,10,Monitoring,28,2s ago
468,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,85.90,86.05,0.15,23,At risk,29,3s ago
469,Cocoa Jan 26,Chicago,D-251,Maya Chen,87.60,87.80,0.20,36,Open,12,4s ago
470,Cotton Mar 26,Singapore,D-628,Noah Park,89.30,89.55,0.25,49,Filled,13,5s ago
471,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,91.00,91.05,0.05,62,Monitoring,14,1s ago
472,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,60.70,60.80,0.10,75,At risk,15,2s ago
473,Copper Sep 26,Chicago,D-1563,Theo Ivanov,62.40,62.55,0.15,88,Open,16,3s ago
474,Nickel Nov 26,Singapore,D-2874,Luca Perez,64.10,64.30,0.20,8,Filled,17,4s ago
475,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,65.80,66.05,0.25,18,Monitoring,18,5s ago
476,Lithium Mar 26,Sao Paulo,D-628,Noah Park,67.50,67.55,0.05,31,At risk,19,1s ago
477,Cocoa May 26,Chicago,D-844,Iris Chen,69.20,69.30,0.10,44,Open,20,2s ago
478,Cotton Jul 26,Singapore,D-1071,Sofia Bell,70.90,71.05,0.15,57,Filled,21,3s ago
479,Soybean Meal Sep 26,Frankfurt,D-1563,Theo Ivanov,72.60,72.80,0.20,70,Monitoring,22,4s ago
480,Wheat Nov 26,Sao Paulo,D-2874,Luca Perez,74.30,74.55,0.25,83,At risk,23,5s ago
481,Copper Jan 26,Chicago,D-251,Maya Chen,76.00,76.05,0.05,8,Open,24,1s ago
482,Nickel Mar 26,Singapore,D-628,Noah Park,77.70,77.80,0.10,13,Filled,25,2s ago
483,Aluminum May 26,Frankfurt,D-844,Iris Chen,79.40,79.55,0.15,26,Monitoring,26,3s ago
484,Lithium Jul 26,Sao Paulo,D-1071,Sofia Bell,81.10,81.30,0.20,39,At risk,27,4s ago
485,Cocoa Sep 26,Chicago,D-1563,Theo Ivanov,82.80,83.05,0.25,52,Open,28,5s ago
486,Cotton Nov 26,Singapore,D-2874,Luca Perez,84.50,84.55,0.05,65,Filled,29,1s ago
487,Soybean Meal Jan 26,Frankfurt,D-251,Maya Chen,86.20,86.30,0.10,78,Monitoring,12,2s ago
488,Wheat Mar 26,Sao Paulo,D-628,Noah Park,87.90,88.05,0.15,91,At risk,13,3s ago
489,Copper May 26,Chicago,D-844,Iris Chen,89.60,89.80,0.20,8,Open,14,4s ago
490,Nickel Jul 26,Singapore,D-1071,Sofia Bell,91.30,91.55,0.25,21,Filled,15,5s ago
491,Aluminum Sep 26,Frankfurt,D-1563,Theo Ivanov,61.00,61.05,0.05,34,Monitoring,16,1s ago
492,Lithium Nov 26,Sao Paulo,D-2874,Luca Perez,62.70,62.80,0.10,47,At risk,17,2s ago
493,Cocoa Jan 26,Chicago,D-251,Maya Chen,64.40,64.55,0.15,60,Open,18,3s ago
494,Cotton Mar 26,Singapore,D-628,Noah Park,66.10,66.30,0.20,73,Filled,19,4s ago
495,Soybean Meal May 26,Frankfurt,D-844,Iris Chen,67.80,68.05,0.25,86,Monitoring,20,5s ago
496,Wheat Jul 26,Sao Paulo,D-1071,Sofia Bell,69.50,69.55,0.05,8,At risk,21,1s ago
497,Copper Sep 26,Chicago,D-1563,Theo Ivanov,71.20,71.30,0.10,16,Open,22,2s ago
498,Nickel Nov 26,Singapore,D-2874,Luca Perez,72.90,73.05,0.15,29,Filled,23,3s ago
499,Aluminum Jan 26,Frankfurt,D-251,Maya Chen,74.60,74.80,0.20,42,Monitoring,24,4s ago
500,Lithium Mar 26,Sao Paulo,D-628,Noah Park,76.30,76.55,0.25,55,At risk,25,5s ago
501,Cocoa May 26,Chicago,D-844,Iris Chen,78.00,78.05,0.05,68,Open,26,1s ago
